"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2020","3,406.75","3,338.00","3,416.75","3,332.25","1.40M","1.60%"
"10/06/2020","3,353.25","3,392.00","3,421.75","3,330.50","1.70M","-1.17%"
"10/05/2020","3,393.00","3,360.00","3,400.00","3,346.50","1.08M","1.61%"
"10/02/2020","3,339.25","3,367.00","3,375.50","3,300.25","2.03M","-0.85%"
"10/01/2020","3,367.75","3,344.75","3,388.00","3,343.25","1.52M","0.47%"
"09/30/2020","3,352.00","3,330.00","3,384.00","3,291.25","2.17M","0.55%"
"09/29/2020","3,333.75","3,348.75","3,363.00","3,316.50","1.33M","-0.37%"
"09/28/2020","3,346.00","3,291.00","3,351.25","3,287.50","1.50M","1.79%"
"09/25/2020","3,287.25","3,243.50","3,296.25","3,206.50","1.70M","1.52%"
"09/24/2020","3,238.00","3,228.00","3,268.25","3,198.00","2.28M","0.21%"
"09/23/2020","3,231.25","3,303.75","3,319.75","3,221.00","1.98M","-2.06%"
"09/22/2020","3,299.25","3,271.50","3,309.50","3,256.50","1.58M","0.74%"
"09/21/2020","3,275.00","3,314.50","3,326.25","3,217.75","2.51M","-2.34%"
"09/18/2020","3,353.60","3,355.75","3,374.25","3,341.75","","-0.24%"
"09/17/2020","3,361.50","3,392.75","3,396.50","3,320.50","384.92K","-0.83%"
"09/16/2020","3,389.50","3,405.00","3,429.75","3,384.00","571.75K","-0.46%"
"09/15/2020","3,405.25","3,379.50","3,419.00","3,376.00","874.37K","0.67%"
"09/14/2020","3,382.50","3,350.00","3,402.75","3,345.50","1.38M","1.46%"
"09/11/2020","3,333.75","3,345.25","3,375.00","3,308.75","1.88M","-0.20%"
"09/10/2020","3,340.50","3,396.00","3,424.25","3,327.25","2.33M","-1.76%"
"09/09/2020","3,400.25","3,315.25","3,424.00","3,295.50","2.01M","1.94%"
"09/08/2020","3,335.50","3,420.50","3,447.00","3,327.50","2.73M","-3.03%"
"09/07/2020","3,439.88","3,406.00","3,443.38","3,392.25","","1.01%"
"09/06/2020","3,405.38","3,414.75","3,421.25","3,382.00","","-0.35%"
"09/04/2020","3,417.50","3,454.75","3,484.25","3,347.75","2.99M","-1.27%"
"09/03/2020","3,461.50","3,578.75","3,586.50","3,424.50","2.87M","-3.29%"
"09/02/2020","3,579.25","3,529.00","3,587.00","3,526.25","1.85M","1.48%"
"09/01/2020","3,527.00","3,493.25","3,530.00","3,484.25","1.28M","0.80%"
"08/31/2020","3,499.00","3,508.50","3,524.50","3,490.00","1.44M","-0.16%"
"08/28/2020","3,504.50","3,488.00","3,509.50","3,480.75","1.25M","0.55%"
"08/27/2020","3,485.25","3,479.50","3,498.25","3,464.75","1.63M","0.14%"
"08/26/2020","3,480.25","3,444.75","3,483.50","3,436.75","1.28M","1.08%"
"08/25/2020","3,443.00","3,427.00","3,448.75","3,421.75","1.13M","0.45%"
"08/24/2020","3,427.50","3,398.75","3,429.50","3,393.50","1.28M","1.03%"
"08/21/2020","3,392.50","3,383.50","3,396.25","3,356.75","1.22M","0.35%"
"08/20/2020","3,380.75","3,370.25","3,387.00","3,344.75","1.20M","0.24%"
"08/19/2020","3,372.75","3,388.75","3,395.75","3,365.50","1.37M","-0.42%"
"08/18/2020","3,387.00","3,379.25","3,390.75","3,365.25","1.02M","0.21%"
"08/17/2020","3,379.75","3,366.00","3,382.75","3,364.75","759.30K","0.54%"
"08/14/2020","3,361.50","3,369.25","3,380.50","3,350.00","1.08M","-0.19%"
"08/13/2020","3,367.75","3,367.75","3,382.00","3,357.50","1.21M","-0.07%"
"08/12/2020","3,370.00","3,339.50","3,382.50","3,326.25","1.41M","1.20%"
"08/11/2020","3,330.00","3,350.25","3,379.00","3,319.50","1.73M","-0.68%"
"08/10/2020","3,352.75","3,347.00","3,357.25","3,329.00","1.20M","0.24%"
"08/07/2020","3,344.75","3,343.75","3,347.75","3,322.25","1.62M","0.01%"
"08/06/2020","3,344.25","3,317.00","3,345.50","3,300.50","1.35M","0.85%"
"08/05/2020","3,316.00","3,300.75","3,323.25","3,292.00","1.12M","0.48%"
"08/04/2020","3,300.00","3,290.75","3,300.50","3,271.00","1.15M","0.35%"
"08/03/2020","3,288.50","3,272.00","3,295.50","3,254.75","1.25M","0.77%"
"07/31/2020","3,263.50","3,269.25","3,273.75","3,212.50","2.28M","0.45%"
"07/30/2020","3,248.75","3,256.75","3,269.00","3,195.00","2.00M","-0.12%"
"07/29/2020","3,252.50","3,215.00","3,257.00","3,204.25","1.22M","1.23%"
"07/28/2020","3,213.00","3,235.00","3,246.75","3,208.00","1.38M","-0.60%"
"07/27/2020","3,232.25","3,210.75","3,235.00","3,192.00","1.30M","0.88%"
"07/24/2020","3,204.00","3,230.00","3,239.00","3,191.50","1.76M","-0.73%"
"07/23/2020","3,227.50","3,267.75","3,284.50","3,214.25","1.70M","-1.16%"
"07/22/2020","3,265.50","3,249.25","3,271.75","3,227.25","1.35M","0.44%"
"07/21/2020","3,251.25","3,243.75","3,273.25","3,239.25","1.46M","0.18%"
"07/20/2020","3,245.25","3,214.50","3,250.50","3,190.25","1.40M","0.97%"
"07/17/2020","3,214.00","3,198.50","3,225.25","3,194.75","1.26M","0.61%"
"07/16/2020","3,194.50","3,223.25","3,228.50","3,188.50","1.47M","-0.78%"
"07/15/2020","3,219.50","3,204.00","3,233.25","3,192.00","1.94M","1.13%"
"07/14/2020","3,183.50","3,149.75","3,192.25","3,119.00","2.26M","1.12%"
"07/13/2020","3,148.25","3,183.50","3,226.25","3,140.50","2.07M","-0.95%"
"07/10/2020","3,178.50","3,142.25","3,181.25","3,111.50","1.41M","1.19%"
"07/09/2020","3,141.00","3,166.25","3,170.75","3,105.25","1.88M","-0.71%"
"07/08/2020","3,163.50","3,135.25","3,166.25","3,125.50","1.53M","0.86%"
"07/07/2020","3,136.50","3,170.00","3,184.00","3,132.50","1.33M","-1.12%"
"07/06/2020","3,172.00","3,121.25","3,174.50","3,121.25","1.46M","1.81%"
"07/03/2020","3,115.62","3,126.62","3,138.62","3,105.75","","-0.43%"
"07/02/2020","3,129.00","3,101.75","3,156.50","3,095.50","1.55M","0.84%"
"07/01/2020","3,103.00","3,085.25","3,117.75","3,062.75","1.54M","0.41%"
"06/30/2020","3,090.25","3,046.00","3,101.25","3,030.25","1.72M","1.39%"
"06/29/2020","3,047.75","2,986.25","3,051.25","2,983.50","1.59M","1.36%"
"06/26/2020","3,007.00","3,071.25","3,082.00","2,992.50","2.21M","-2.08%"
"06/25/2020","3,070.75","3,046.75","3,079.50","3,005.00","1.97M","0.71%"
"06/24/2020","3,049.00","3,113.25","3,128.50","3,019.75","2.39M","-2.23%"
"06/23/2020","3,118.50","3,111.75","3,145.75","3,060.00","1.53M","0.25%"
"06/22/2020","3,110.75","3,040.25","3,114.25","3,027.25","1.39M","-1.60%"
"06/19/2020","3,161.26","3,108.25","3,196.00","3,106.75","36.16K","1.68%"
"06/18/2020","3,109.00","3,115.00","3,130.50","3,075.25","373.72K","-0.29%"
"06/17/2020","3,118.00","3,122.00","3,157.75","3,105.00","610.88K","-0.34%"
"06/16/2020","3,128.75","3,076.25","3,167.75","3,071.25","1.38M","1.81%"
"06/15/2020","3,073.00","2,992.75","3,079.25","2,935.00","1.95M","1.26%"
"06/12/2020","3,034.75","3,011.75","3,087.75","2,982.00","2.87M","0.81%"
"06/11/2020","3,010.25","3,183.75","3,188.50","2,996.25","3.53M","-5.52%"
"06/10/2020","3,186.00","3,204.75","3,227.25","3,179.75","2.00M","-0.61%"
"06/09/2020","3,205.50","3,227.75","3,231.00","3,190.00","1.70M","-0.68%"
"06/08/2020","3,227.50","3,192.50","3,231.25","3,183.25","1.60M","1.28%"
"06/05/2020","3,186.75","3,113.25","3,210.50","3,106.50","2.44M","2.45%"
"06/04/2020","3,110.50","3,117.75","3,126.75","3,087.50","1.83M","-0.23%"
"06/03/2020","3,117.75","3,078.00","3,129.50","3,074.25","1.62M","1.32%"
"06/02/2020","3,077.00","3,052.75","3,079.00","3,035.00","1.46M","0.75%"
